frame_nr;type;score;left;top;height;width
135912;0;0.5197676807649401;192;19;105;70
135913;0;0.6275997549302843;192;19;105;70
135914;0;0.3450526386506823;176;10;125;84
135915;1;0.26641515934168947;178;-71;184;67
135916;0;0.3918935447938708;169;19;105;70
135917;0;0.3106886535890368;158;19;105;70
135918;0;0.44991890490129266;148;10;125;84
135919;1;0.25494323217570436;145;-71;184;67
135920;1;0.3023155733317102;145;-71;184;67
135922;0;0.3249420911081103;123;8;105;70
135923;0;0.1153449207551745;42;-102;240;144
135924;1;0.17306343757807863;112;-71;184;67
135925;1;0.2219744726389612;112;-71;184;67
135927;1;0.31233594858348024;95;-71;184;67
135928;1;0.21470491134822023;95;-71;184;67
135929;0;0.16593364775254998;18;-102;240;144
135930;0;0.13010249435975824;18;-102;240;144
135932;0;0.13983366787507806;15;-85;200;120
135933;1;0.41703132831751955;85;21;81;33
135934;1;0.6773025795191492;85;21;81;33
135935;1;0.2778400584429468;77;21;81;33
135938;0;0.13653300106599603;19;8;105;71
